"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","16195"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","25082"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9751"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","15331"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","24975"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9810"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","15165"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","30958"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12376"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","18582"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","30936"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12441"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","18495"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas ir kaimas","asmenys","30361"
